n	x	y	z
0	0.281250	0.000000	1056.109268
1	0.843750	0.000000	1121.115224
2	1.406250	0.000000	1183.953106
3	1.968750	0.000000	1243.961117
4	2.531250	0.000000	1300.475048
5	3.093750	0.000000	1352.842120
6	3.656250	0.000000	1400.435747
7	4.218750	0.000000	1442.670759
8	4.500000	0.468750	-1124.179779
9	4.500000	1.406250	-1178.287732
10	4.500000	2.343750	-1229.781038
11	4.500000	3.281250	-1279.371822
12	4.500000	4.218750	-1327.821649
13	4.500000	5.156250	-1375.829466
14	4.500000	6.093750	-1423.903527
15	4.500000	7.031250	-1472.221502
16	4.500000	7.968750	-1520.479849
17	4.500000	8.906250	-1567.728566
18	4.500000	9.843750	-1612.180711
19	4.500000	10.781250	-1650.977873
20	4.500000	11.718750	-1679.882712
21	4.500000	12.656250	-1692.857611
22	4.500000	13.593750	-1681.477090
23	4.500000	14.531250	-1634.128169
24	4.500000	15.468750	-1535.041789
25	4.500000	16.406250	-1363.553140
26	4.500000	17.343750	-1094.973516
27	4.500000	18.281250	-706.335027
28	4.500000	19.218750	-193.258866
29	4.500000	20.156250	320.558843
30	4.500000	21.093750	646.124858
31	4.500000	22.031250	1214.413577
32	4.500000	22.968750	1726.508865
33	4.500000	23.906250	2123.853402
34	4.500000	24.843750	2416.335471
35	4.500000	25.781250	2625.322432
36	4.500000	26.718750	2770.728989
37	4.500000	27.656250	2866.861827
38	4.500000	28.593750	2921.948928
39	4.500000	29.531250	2938.619525
40	4.500000	30.468750	2914.245614
41	4.500000	31.406250	2840.855317
42	4.500000	32.343750	2704.744985
43	4.500000	33.281250	2486.525544
44	4.500000	34.218750	2163.680766
45	4.500000	35.156250	1719.840109
46	4.500000	36.093750	1173.227397
47	4.500000	37.031250	782.339655
48	4.843750	37.500000	1223.888945
49	5.531250	37.500000	927.274942
50	6.218750	37.500000	838.026194
51	6.906250	37.500000	769.548091
52	7.593750	37.500000	685.473067
53	8.281250	37.500000	586.242759
54	8.968750	37.500000	509.115421
55	9.656250	37.500000	641.597400
56	10.000000	37.031250	4030.824372
57	10.000000	36.093750	4322.379840
58	10.000000	35.156250	4798.115053
59	10.000000	34.218750	5217.767480
60	10.000000	33.281250	5562.967834
61	10.000000	32.343750	5839.873186
62	10.000000	31.406250	6058.782681
63	10.000000	30.468750	6228.593534
64	10.000000	29.531250	6354.984300
65	10.000000	28.593750	6440.087860
66	10.000000	27.656250	6482.608206
67	10.000000	26.718750	6477.991598
68	10.000000	25.781250	6418.574202
69	10.000000	24.843750	6293.850692
70	10.000000	23.906250	6091.401155
71	10.000000	22.968750	5799.818833
72	10.000000	22.031250	5416.597477
73	10.000000	21.093750	4996.034509
74	10.000000	20.156250	4814.874160
75	10.000000	19.218750	4409.348122
76	10.000000	18.281250	3943.305188
77	10.000000	17.343750	3534.255581
78	10.000000	16.406250	3186.944448
79	10.000000	15.468750	2893.319991
80	10.000000	14.531250	2642.924007
81	10.000000	13.593750	2426.442454
82	10.000000	12.656250	2236.646210
83	10.000000	11.718750	2068.342632
84	10.000000	10.781250	1918.020728
85	10.000000	9.843750	1783.416136
86	10.000000	8.906250	1663.062262
87	10.000000	7.968750	1555.857154
88	10.000000	7.031250	1460.677271
89	10.000000	6.093750	1376.076937
90	10.000000	5.156250	1300.112910
91	10.000000	4.218750	1230.321485
92	10.000000	3.281250	1163.850733
93	10.000000	2.343750	1097.718425
94	10.000000	1.406250	1029.137351
95	10.000000	0.468750	955.834883
96	10.281250	0.000000	1473.471369
97	10.843750	0.000000	1437.801970
98	11.406250	0.000000	1397.168116
99	11.968750	0.000000	1352.179803
100	12.531250	0.000000	1303.466154
101	13.093750	0.000000	1251.653269
102	13.656250	0.000000	1197.341195
103	14.218750	0.000000	1141.080320
104	14.500000	0.468750	-825.145135
105	14.500000	1.406250	-939.058737
106	14.500000	2.343750	-1042.840234
107	14.500000	3.281250	-1142.071341
