n	x	y	J	J0
0	0.281250	0.000000	1.584164	1.056109
1	0.843750	0.000000	1.681673	1.121115
2	1.406250	0.000000	1.775930	1.183953
3	1.968750	0.000000	1.865942	1.243961
4	2.531250	0.000000	1.950713	1.300475
5	3.093750	0.000000	2.029263	1.352842
6	3.656250	0.000000	2.100654	1.400436
7	4.218750	0.000000	2.164006	1.442671
8	4.500000	0.468750	-1.686270	-1.124180
9	4.500000	1.406250	-1.767432	-1.178288
10	4.500000	2.343750	-1.844672	-1.229781
11	4.500000	3.281250	-1.919058	-1.279372
12	4.500000	4.218750	-1.991732	-1.327822
13	4.500000	5.156250	-2.063744	-1.375829
14	4.500000	6.093750	-2.135855	-1.423904
15	4.500000	7.031250	-2.208332	-1.472222
16	4.500000	7.968750	-2.280720	-1.520480
17	4.500000	8.906250	-2.351593	-1.567729
18	4.500000	9.843750	-2.418271	-1.612181
19	4.500000	10.781250	-2.476467	-1.650978
20	4.500000	11.718750	-2.519824	-1.679883
21	4.500000	12.656250	-2.539286	-1.692858
22	4.500000	13.593750	-2.522216	-1.681477
23	4.500000	14.531250	-2.451192	-1.634128
24	4.500000	15.468750	-2.302563	-1.535042
25	4.500000	16.406250	-2.045330	-1.363553
26	4.500000	17.343750	-1.642460	-1.094974
27	4.500000	18.281250	-1.059503	-0.706335
28	4.500000	19.218750	-0.289888	-0.193259
29	4.500000	20.156250	0.480838	0.320559
30	4.500000	21.093750	0.969187	0.646125
31	4.500000	22.031250	1.821620	1.214414
32	4.500000	22.968750	2.589763	1.726509
33	4.500000	23.906250	3.185780	2.123853
34	4.500000	24.843750	3.624503	2.416335
35	4.500000	25.781250	3.937984	2.625322
36	4.500000	26.718750	4.156093	2.770729
37	4.500000	27.656250	4.300293	2.866862
38	4.500000	28.593750	4.382923	2.921949
39	4.500000	29.531250	4.407929	2.938620
40	4.500000	30.468750	4.371368	2.914246
41	4.500000	31.406250	4.261283	2.840855
42	4.500000	32.343750	4.057117	2.704745
43	4.500000	33.281250	3.729788	2.486526
44	4.500000	34.218750	3.245521	2.163681
45	4.500000	35.156250	2.579760	1.719840
46	4.500000	36.093750	1.759841	1.173227
47	4.500000	37.031250	1.173509	0.782340
48	4.843750	37.500000	1.835833	1.223889
49	5.531250	37.500000	1.390912	0.927275
50	6.218750	37.500000	1.257039	0.838026
51	6.906250	37.500000	1.154322	0.769548
52	7.593750	37.500000	1.028210	0.685473
53	8.281250	37.500000	0.879364	0.586243
54	8.968750	37.500000	0.763673	0.509115
55	9.656250	37.500000	0.962396	0.641597
56	10.000000	37.031250	6.046237	4.030824
57	10.000000	36.093750	6.483570	4.322380
58	10.000000	35.156250	7.197173	4.798115
59	10.000000	34.218750	7.826651	5.217767
60	10.000000	33.281250	8.344452	5.562968
61	10.000000	32.343750	8.759810	5.839873
62	10.000000	31.406250	9.088174	6.058783
63	10.000000	30.468750	9.342890	6.228594
64	10.000000	29.531250	9.532476	6.354984
65	10.000000	28.593750	9.660132	6.440088
66	10.000000	27.656250	9.723912	6.482608
67	10.000000	26.718750	9.716987	6.477992
68	10.000000	25.781250	9.627861	6.418574
69	10.000000	24.843750	9.440776	6.293851
70	10.000000	23.906250	9.137102	6.091401
71	10.000000	22.968750	8.699728	5.799819
72	10.000000	22.031250	8.124896	5.416597
73	10.000000	21.093750	7.494052	4.996035
74	10.000000	20.156250	7.222311	4.814874
75	10.000000	19.218750	6.614022	4.409348
76	10.000000	18.281250	5.914958	3.943305
77	10.000000	17.343750	5.301383	3.534256
78	10.000000	16.406250	4.780417	3.186944
79	10.000000	15.468750	4.339980	2.893320
80	10.000000	14.531250	3.964386	2.642924
81	10.000000	13.593750	3.639664	2.426442
82	10.000000	12.656250	3.354969	2.236646
83	10.000000	11.718750	3.102514	2.068343
84	10.000000	10.781250	2.877031	1.918021
85	10.000000	9.843750	2.675124	1.783416
86	10.000000	8.906250	2.494593	1.663062
87	10.000000	7.968750	2.333786	1.555857
88	10.000000	7.031250	2.191016	1.460677
89	10.000000	6.093750	2.064115	1.376077
90	10.000000	5.156250	1.950169	1.300113
91	10.000000	4.218750	1.845482	1.230321
92	10.000000	3.281250	1.745776	1.163851
93	10.000000	2.343750	1.646578	1.097718
94	10.000000	1.406250	1.543706	1.029137
95	10.000000	0.468750	1.433752	0.955835
96	10.281250	0.000000	2.210207	1.473471
97	10.843750	0.000000	2.156703	1.437802
98	11.406250	0.000000	2.095752	1.397168
99	11.968750	0.000000	2.028270	1.352180
100	12.531250	0.000000	1.955199	1.303466
101	13.093750	0.000000	1.877480	1.251653
102	13.656250	0.000000	1.796012	1.197341
103	14.218750	0.000000	1.711620	1.141080
104	14.500000	0.468750	-1.237718	-0.825145
105	14.500000	1.406250	-1.408588	-0.939059
106	14.500000	2.343750	-1.564260	-1.042840
107	14.500000	3.281250	-1.713107	-1.142071
108	14.500000	4.218750	-1.866728	-1.244485
109	14.500000	5.156250	-2.037536	-1.358357
110	14.500000	6.093750	-2.236138	-1.490759
111	14.500000	7.031250	-2.469443	-1.646296
112	14.500000	7.968750	-2.740056	-1.826704
113	14.500000	8.906250	-3.046952	-2.031301
114	14.500000	9.843750	-3.386945	-2.257963
115	14.500000	10.781250	-3.756344	-2.504229
116	14.500000	11.718750	-4.152247	-2.768165
117	14.500000	12.656250	-4.573140	-3.048760
118	14.500000	13.593750	-5.018591	-3.345727
119	14.500000	14.531250	-5.487889	-3.658593
120	14.500000	15.468750	-5.977621	-3.985081
121	14.500000	16.406250	-6.478495	-4.318997
122	14.500000	17.343750	-6.972709	-4.648473
123	14.500000	18.281250	-7.434725	-4.956483
124	14.500000	19.218750	-7.837277	-5.224851
125	14.500000	20.156250	-8.098130	-5.398753
126	14.500000	21.093750	-8.139511	-5.426341
127	14.500000	22.031250	-8.370185	-5.580123
128	14.500000	22.968750	-8.620214	-5.746809
129	14.500000	23.906250	-8.848063	-5.898708
130	14.500000	24.843750	-9.030846	-6.020564
131	14.500000	25.781250	-9.148439	-6.098960
132	14.500000	26.718750	-9.188232	-6.125488
133	14.500000	27.656250	-9.145080	-6.096720
134	14.500000	28.593750	-9.019273	-6.012849
135	14.500000	29.531250	-8.814706	-5.876471
136	14.500000	30.468750	-8.538046	-5.692031
137	14.500000	31.406250	-8.198986	-5.465991
138	14.500000	32.343750	-7.811357	-5.207571
139	14.500000	33.281250	-7.394468	-4.929645
140	14.500000	34.218750	-6.972996	-4.648664
141	14.500000	35.156250	-6.572628	-4.381752
142	14.500000	36.093750	-6.216787	-4.144524
143	14.500000	37.031250	-6.055353	-4.036902
144	14.843750	37.500000	-0.653016	-0.435344
145	15.531250	37.500000	-0.711102	-0.474068
146	16.218750	37.500000	-0.925926	-0.617284
147	16.906250	37.500000	-1.155500	-0.770333
148	17.593750	37.500000	-1.370784	-0.913856
149	18.281250	37.500000	-1.570606	-1.047071
150	18.968750	37.500000	-1.781623	-1.187749
151	19.656250	37.500000	-2.143357	-1.428905
152	20.000000	37.031250	2.214576	1.476384
153	20.000000	36.093750	1.805687	1.203791
154	20.000000	35.156250	1.347278	0.898186
155	20.000000	34.218750	1.071533	0.714355
156	20.000000	33.281250	0.979704	0.653136
157	20.000000	32.343750	1.022425	0.681617
158	20.000000	31.406250	1.145588	0.763725
159	20.000000	30.468750	1.308154	0.872103
160	20.000000	29.531250	1.485450	0.990300
161	20.000000	28.593750	1.667073	1.111382
162	20.000000	27.656250	1.854077	1.236051
163	20.000000	26.718750	2.056856	1.371238
164	20.000000	25.781250	2.293785	1.529190
165	20.000000	24.843750	2.589869	1.726580
166	20.000000	23.906250	2.973640	1.982427
167	20.000000	22.968750	3.468714	2.312476
168	20.000000	22.031250	4.075568	2.717046
169	20.000000	21.093750	4.722303	3.148202
170	20.000000	20.156250	5.144406	3.429604
171	20.000000	19.218750	5.638502	3.759001
172	20.000000	18.281250	6.064993	4.043329
173	20.000000	17.343750	6.346813	4.231208
174	20.000000	16.406250	6.495728	4.330486
175	20.000000	15.468750	6.526447	4.350965
176	20.000000	14.531250	6.450493	4.300329
177	20.000000	13.593750	6.277322	4.184881
178	20.000000	12.656250	6.015406	4.010271
179	20.000000	11.718750	5.672675	3.781783
180	20.000000	10.781250	5.257112	3.504741
181	20.000000	9.843750	4.778230	3.185487
182	20.000000	8.906250	4.249765	2.833177
183	20.000000	7.968750	3.693459	2.462306
184	20.000000	7.031250	3.142505	2.095003
185	20.000000	6.093750	2.640672	1.760448
186	20.000000	5.156250	2.230301	1.486867
187	20.000000	4.218750	1.926355	1.284237
188	20.000000	3.281250	1.693244	1.128829
189	20.000000	2.343750	1.457709	0.971806
190	20.000000	1.406250	1.158695	0.772463
191	20.000000	0.468750	0.783903	0.522602
192	20.281250	0.000000	0.650273	0.433516
193	20.843750	0.000000	0.503383	0.335589
194	21.406250	0.000000	0.328484	0.218989
195	21.968750	0.000000	0.114097	0.076064
196	22.531250	0.000000	-0.154067	-0.102711
197	23.093750	0.000000	-0.491282	-0.327521
198	23.656250	0.000000	-0.908630	-0.605753
199	24.218750	0.000000	-1.403843	-0.935895
200	24.500000	0.468750	1.237865	0.825244
201	24.500000	1.406250	0.559354	0.372903
202	24.500000	2.343750	-0.308004	-0.205336
203	24.500000	3.281250	-1.110825	-0.740550
204	24.500000	4.218750	-1.723351	-1.148901
205	24.500000	5.156250	-2.671966	-1.781311
