x 	y	class
5.562500	36.587500	o
5.562500	35.762500	o
5.562500	34.937500	o
5.562500	34.112500	o
5.562500	33.287500	o
5.562500	32.462500	o
5.562500	31.637500	o
5.562500	30.812500	o
5.562500	29.987500	o
5.562500	29.162500	o
5.562500	28.337500	o
5.562500	27.512500	o
5.562500	26.687500	o
5.562500	25.862500	o
5.562500	25.037500	o
5.562500	24.212500	o
5.562500	23.387500	o
5.562500	22.562500	o
5.562500	21.737500	o
5.562500	20.912500	o
6.687500	36.587500	o
6.687500	35.762500	o
6.687500	34.937500	o
6.687500	34.112500	o
6.687500	33.287500	o
6.687500	32.462500	o
6.687500	31.637500	o
6.687500	30.812500	o
6.687500	29.987500	o
6.687500	29.162500	o
6.687500	28.337500	o
6.687500	27.512500	o
6.687500	26.687500	o
6.687500	25.862500	o
6.687500	25.037500	o
6.687500	24.212500	o
6.687500	23.387500	o
6.687500	22.562500	o
6.687500	21.737500	o
6.687500	20.912500	o
7.812500	36.587500	o
7.812500	35.762500	o
7.812500	34.937500	o
7.812500	34.112500	o
7.812500	33.287500	o
7.812500	32.462500	o
7.812500	31.637500	o
7.812500	30.812500	o
7.812500	29.987500	o
7.812500	29.162500	o
7.812500	28.337500	o
7.812500	27.512500	o
7.812500	26.687500	o
7.812500	25.862500	o
7.812500	25.037500	o
7.812500	24.212500	o
7.812500	23.387500	o
7.812500	22.562500	o
7.812500	21.737500	o
7.812500	20.912500	o
8.937500	36.587500	o
8.937500	35.762500	o
8.937500	34.937500	o
8.937500	34.112500	o
8.937500	33.287500	o
8.937500	32.462500	o
8.937500	31.637500	o
8.937500	30.812500	o
8.937500	29.987500	o
8.937500	29.162500	o
8.937500	28.337500	o
8.937500	27.512500	o
8.937500	26.687500	o
8.937500	25.862500	o
8.937500	25.037500	o
8.937500	24.212500	o
8.937500	23.387500	o
8.937500	22.562500	o
8.937500	21.737500	o
8.937500	20.912500	o
25.562500	36.587500	x
25.562500	35.762500	x
25.562500	34.937500	x
25.562500	34.112500	x
25.562500	33.287500	x
25.562500	32.462500	x
25.562500	31.637500	x
25.562500	30.812500	x
25.562500	29.987500	x
25.562500	29.162500	x
25.562500	28.337500	x
25.562500	27.512500	x
25.562500	26.687500	x
25.562500	25.862500	x
25.562500	25.037500	x
25.562500	24.212500	x
25.562500	23.387500	x
25.562500	22.562500	x
25.562500	21.737500	x
25.562500	20.912500	x
26.687500	36.587500	x
26.687500	35.762500	x
26.687500	34.937500	x
26.687500	34.112500	x
26.687500	33.287500	x
26.687500	32.462500	x
26.687500	31.637500	x
26.687500	30.812500	x
26.687500	29.987500	x
26.687500	29.162500	x
26.687500	28.337500	x
26.687500	27.512500	x
26.687500	26.687500	x
26.687500	25.862500	x
26.687500	25.037500	x
26.687500	24.212500	x
26.687500	23.387500	x
26.687500	22.562500	x
26.687500	21.737500	x
26.687500	20.912500	x
27.812500	36.587500	x
27.812500	35.762500	x
27.812500	34.937500	x
27.812500	34.112500	x
27.812500	33.287500	x
27.812500	32.462500	x
27.812500	31.637500	x
27.812500	30.812500	x
27.812500	29.987500	x
27.812500	29.162500	x
27.812500	28.337500	x
27.812500	27.512500	x
27.812500	26.687500	x
27.812500	25.862500	x
27.812500	25.037500	x
27.812500	24.212500	x
