x 	y	class
65.281250	36.587500	o
65.281250	35.762500	o
65.281250	34.937500	o
65.281250	34.112500	o
65.281250	33.287500	o
65.281250	32.462500	o
65.281250	31.637500	o
65.281250	30.812500	o
65.281250	29.987500	o
65.281250	29.162500	o
65.281250	28.337500	o
65.281250	27.512500	o
65.281250	26.687500	o
65.281250	25.862500	o
65.281250	25.037500	o
65.281250	24.212500	o
65.281250	23.387500	o
65.281250	22.562500	o
65.281250	21.737500	o
65.281250	20.912500	o
65.843750	36.587500	o
65.843750	35.762500	o
65.843750	34.937500	o
65.843750	34.112500	o
65.843750	33.287500	o
65.843750	32.462500	o
65.843750	31.637500	o
65.843750	30.812500	o
65.843750	29.987500	o
65.843750	29.162500	o
65.843750	28.337500	o
65.843750	27.512500	o
65.843750	26.687500	o
65.843750	25.862500	o
65.843750	25.037500	o
65.843750	24.212500	o
65.843750	23.387500	o
65.843750	22.562500	o
65.843750	21.737500	o
65.843750	20.912500	o
66.406250	36.587500	o
66.406250	35.762500	o
66.406250	34.937500	o
66.406250	34.112500	o
66.406250	33.287500	o
66.406250	32.462500	o
66.406250	31.637500	o
66.406250	30.812500	o
66.406250	29.987500	o
66.406250	29.162500	o
66.406250	28.337500	o
66.406250	27.512500	o
66.406250	26.687500	o
66.406250	25.862500	o
66.406250	25.037500	o
66.406250	24.212500	o
66.406250	23.387500	o
66.406250	22.562500	o
66.406250	21.737500	o
66.406250	20.912500	o
66.968750	36.587500	o
66.968750	35.762500	o
66.968750	34.937500	o
66.968750	34.112500	o
66.968750	33.287500	o
66.968750	32.462500	o
66.968750	31.637500	o
66.968750	30.812500	o
66.968750	29.987500	o
66.968750	29.162500	o
66.968750	28.337500	o
66.968750	27.512500	o
66.968750	26.687500	o
66.968750	25.862500	o
66.968750	25.037500	o
66.968750	24.212500	o
66.968750	23.387500	o
66.968750	22.562500	o
66.968750	21.737500	o
66.968750	20.912500	o
67.531250	36.587500	o
67.531250	35.762500	o
67.531250	34.937500	o
67.531250	34.112500	o
67.531250	33.287500	o
67.531250	32.462500	o
67.531250	31.637500	o
67.531250	30.812500	o
67.531250	29.987500	o
67.531250	29.162500	o
67.531250	28.337500	o
67.531250	27.512500	o
67.531250	26.687500	o
67.531250	25.862500	o
67.531250	25.037500	o
67.531250	24.212500	o
67.531250	23.387500	o
67.531250	22.562500	o
67.531250	21.737500	o
67.531250	20.912500	o
68.093750	36.587500	o
68.093750	35.762500	o
68.093750	34.937500	o
68.093750	34.112500	o
68.093750	33.287500	o
68.093750	32.462500	o
68.093750	31.637500	o
68.093750	30.812500	o
68.093750	29.987500	o
68.093750	29.162500	o
68.093750	28.337500	o
68.093750	27.512500	o
68.093750	26.687500	o
68.093750	25.862500	o
68.093750	25.037500	o
68.093750	24.212500	o
68.093750	23.387500	o
68.093750	22.562500	o
68.093750	21.737500	o
68.093750	20.912500	o
68.656250	36.587500	o
68.656250	35.762500	o
68.656250	34.937500	o
68.656250	34.112500	o
68.656250	33.287500	o
68.656250	32.462500	o
68.656250	31.637500	o
68.656250	30.812500	o
68.656250	29.987500	o
68.656250	29.162500	o
68.656250	28.337500	o
68.656250	27.512500	o
68.656250	26.687500	o
68.656250	25.862500	o
68.656250	25.037500	o
68.656250	24.212500	o
68.656250	23.387500	o
68.656250	22.562500	o
68.656250	21.737500	o
68.656250	20.912500	o
69.218750	36.587500	o
69.218750	35.762500	o
69.218750	34.937500	o
69.218750	34.112500	o
69.218750	33.287500	o
69.218750	32.462500	o
69.218750	31.637500	o
69.218750	30.812500	o
69.218750	29.987500	o
69.218750	29.162500	o
69.218750	28.337500	o
69.218750	27.512500	o
69.218750	26.687500	o
69.218750	25.862500	o
69.218750	25.037500	o
69.218750	24.212500	o
69.218750	23.387500	o
69.218750	22.562500	o
69.218750	21.737500	o
69.218750	20.912500	o
85.281250	36.587500	x
85.281250	35.762500	x
85.281250	34.937500	x
85.281250	34.112500	x
85.281250	33.287500	x
85.281250	32.462500	x
85.281250	31.637500	x
85.281250	30.812500	x
85.281250	29.987500	x
85.281250	29.162500	x
85.281250	28.337500	x
85.281250	27.512500	x
85.281250	26.687500	x
85.281250	25.862500	x
85.281250	25.037500	x
85.281250	24.212500	x
85.281250	23.387500	x
85.281250	22.562500	x
85.281250	21.737500	x
85.281250	20.912500	x
85.843750	36.587500	x
85.843750	35.762500	x
85.843750	34.937500	x
85.843750	34.112500	x
85.843750	33.287500	x
85.843750	32.462500	x
85.843750	31.637500	x
85.843750	30.812500	x
85.843750	29.987500	x
85.843750	29.162500	x
85.843750	28.337500	x
85.843750	27.512500	x
85.843750	26.687500	x
85.843750	25.862500	x
85.843750	25.037500	x
85.843750	24.212500	x
85.843750	23.387500	x
85.843750	22.562500	x
85.843750	21.737500	x
85.843750	20.912500	x
86.406250	36.587500	x
86.406250	35.762500	x
86.406250	34.937500	x
86.406250	34.112500	x
86.406250	33.287500	x
86.406250	32.462500	x
86.406250	31.637500	x
86.406250	30.812500	x
86.406250	29.987500	x
86.406250	29.162500	x
86.406250	28.337500	x
86.406250	27.512500	x
86.406250	26.687500	x
86.406250	25.862500	x
86.406250	25.037500	x
86.406250	24.212500	x
86.406250	23.387500	x
86.406250	22.562500	x
86.406250	21.737500	x
86.406250	20.912500	x
86.968750	36.587500	x
86.968750	35.762500	x
86.968750	34.937500	x
86.968750	34.112500	x
86.968750	33.287500	x
86.968750	32.462500	x
86.968750	31.637500	x
86.968750	30.812500	x
86.968750	29.987500	x
86.968750	29.162500	x
86.968750	28.337500	x
86.968750	27.512500	x
86.968750	26.687500	x
86.968750	25.862500	x
86.968750	25.037500	x
86.968750	24.212500	x
86.968750	23.387500	x
86.968750	22.562500	x
86.968750	21.737500	x
86.968750	20.912500	x
87.531250	36.587500	x
87.531250	35.762500	x
87.531250	34.937500	x
87.531250	34.112500	x
87.531250	33.287500	x
87.531250	32.462500	x
87.531250	31.637500	x
87.531250	30.812500	x
87.531250	29.987500	x
87.531250	29.162500	x
87.531250	28.337500	x
87.531250	27.512500	x
87.531250	26.687500	x
87.531250	25.862500	x
87.531250	25.037500	x
87.531250	24.212500	x
87.531250	23.387500	x
87.531250	22.562500	x
87.531250	21.737500	x
87.531250	20.912500	x
88.093750	36.587500	x
88.093750	35.762500	x
88.093750	34.937500	x
88.093750	34.112500	x
88.093750	33.287500	x
88.093750	32.462500	x
88.093750	31.637500	x
88.093750	30.812500	x
88.093750	29.987500	x
88.093750	29.162500	x
88.093750	28.337500	x
88.093750	27.512500	x
88.093750	26.687500	x
88.093750	25.862500	x
88.093750	25.037500	x
88.093750	24.212500	x
88.093750	23.387500	x
88.093750	22.562500	x
88.093750	21.737500	x
88.093750	20.912500	x
88.656250	36.587500	x
88.656250	35.762500	x
88.656250	34.937500	x
88.656250	34.112500	x
88.656250	33.287500	x
88.656250	32.462500	x
88.656250	31.637500	x
88.656250	30.812500	x
88.656250	29.987500	x
88.656250	29.162500	x
88.656250	28.337500	x
88.656250	27.512500	x
88.656250	26.687500	x
88.656250	25.862500	x
88.656250	25.037500	x
88.656250	24.212500	x
88.656250	23.387500	x
88.656250	22.562500	x
88.656250	21.737500	x
88.656250	20.912500	x
89.218750	36.587500	x
89.218750	35.762500	x
89.218750	34.937500	x
89.218750	34.112500	x
89.218750	33.287500	x
89.218750	32.462500	x
89.218750	31.637500	x
89.218750	30.812500	x
89.218750	29.987500	x
89.218750	29.162500	x
89.218750	28.337500	x
89.218750	27.512500	x
89.218750	26.687500	x
89.218750	25.862500	x
89.218750	25.037500	x
89.218750	24.212500	x
89.218750	23.387500	x
89.218750	22.562500	x
89.218750	21.737500	x
89.218750	20.912500	x
85.281250	19.587500	x
85.281250	18.762500	x
85.281250	17.937500	x
85.281250	17.112500	x
85.281250	16.287500	x
85.281250	15.462500	x
85.281250	14.637500	x
85.281250	13.812500	x
85.281250	12.987500	x
85.281250	12.162500	x
85.281250	11.337500	x
85.281250	10.512500	x
85.281250	9.687500	x
85.281250	8.862500	x
85.281250	8.037500	x
85.281250	7.212500	x
85.281250	6.387500	x
85.281250	5.562500	x
85.281250	4.737500	x
85.281250	3.912500	x
85.843750	19.587500	x
85.843750	18.762500	x
85.843750	17.937500	x
85.843750	17.112500	x
85.843750	16.287500	x
85.843750	15.462500	x
85.843750	14.637500	x
85.843750	13.812500	x
85.843750	12.987500	x
85.843750	12.162500	x
85.843750	11.337500	x
85.843750	10.512500	x
85.843750	9.687500	x
85.843750	8.862500	x
85.843750	8.037500	x
85.843750	7.212500	x
85.843750	6.387500	x
85.843750	5.562500	x
85.843750	4.737500	x
85.843750	3.912500	x
86.406250	19.587500	x
86.406250	18.762500	x
86.406250	17.937500	x
86.406250	17.112500	x
86.406250	16.287500	x
86.406250	15.462500	x
86.406250	14.637500	x
86.406250	13.812500	x
86.406250	12.987500	x
86.406250	12.162500	x
86.406250	11.337500	x
86.406250	10.512500	x
86.406250	9.687500	x
86.406250	8.862500	x
