x	y	class
35.450000	36.410714	o
35.450000	35.232143	o
35.450000	34.053571	o
35.450000	32.875000	o
35.450000	31.696429	o
35.450000	30.517857	o
35.450000	29.339286	o
35.450000	28.160714	o
35.450000	26.982143	o
35.450000	25.803571	o
35.450000	24.625000	o
35.450000	23.446429	o
35.450000	22.267857	o
35.450000	21.089286	o
36.350000	36.410714	o
36.350000	35.232143	o
36.350000	34.053571	o
36.350000	32.875000	o
36.350000	31.696429	o
36.350000	30.517857	o
36.350000	29.339286	o
36.350000	28.160714	o
36.350000	26.982143	o
36.350000	25.803571	o
36.350000	24.625000	o
36.350000	23.446429	o
36.350000	22.267857	o
36.350000	21.089286	o
37.250000	36.410714	o
37.250000	35.232143	o
37.250000	34.053571	o
37.250000	32.875000	o
37.250000	31.696429	o
37.250000	30.517857	o
37.250000	29.339286	o
37.250000	28.160714	o
37.250000	26.982143	o
37.250000	25.803571	o
37.250000	24.625000	o
37.250000	23.446429	o
37.250000	22.267857	o
37.250000	21.089286	o
38.150000	36.410714	o
38.150000	35.232143	o
38.150000	34.053571	o
38.150000	32.875000	o
38.150000	31.696429	o
38.150000	30.517857	o
38.150000	29.339286	o
38.150000	28.160714	o
38.150000	26.982143	o
38.150000	25.803571	o
38.150000	24.625000	o
38.150000	23.446429	o
38.150000	22.267857	o
38.150000	21.089286	o
39.050000	36.410714	o
39.050000	35.232143	o
39.050000	34.053571	o
39.050000	32.875000	o
39.050000	31.696429	o
39.050000	30.517857	o
39.050000	29.339286	o
39.050000	28.160714	o
39.050000	26.982143	o
39.050000	25.803571	o
39.050000	24.625000	o
39.050000	23.446429	o
39.050000	22.267857	o
39.050000	21.089286	o
55.450000	36.410714	x
55.450000	35.232143	x
55.450000	34.053571	x
55.450000	32.875000	x
55.450000	31.696429	x
55.450000	30.517857	x
55.450000	29.339286	x
55.450000	28.160714	x
55.450000	26.982143	x
55.450000	25.803571	x
55.450000	24.625000	x
55.450000	23.446429	x
55.450000	22.267857	x
55.450000	21.089286	x
56.350000	36.410714	x
56.350000	35.232143	x
56.350000	34.053571	x
56.350000	32.875000	x
56.350000	31.696429	x
56.350000	30.517857	x
56.350000	29.339286	x
56.350000	28.160714	x
56.350000	26.982143	x
56.350000	25.803571	x
56.350000	24.625000	x
56.350000	23.446429	x
56.350000	22.267857	x
56.350000	21.089286	x
57.250000	36.410714	x
57.250000	35.232143	x
57.250000	34.053571	x
57.250000	32.875000	x
57.250000	31.696429	x
57.250000	30.517857	x
57.250000	29.339286	x
57.250000	28.160714	x
57.250000	26.982143	x
57.250000	25.803571	x
57.250000	24.625000	x
57.250000	23.446429	x
57.250000	22.267857	x
57.250000	21.089286	x
58.150000	36.410714	x
58.150000	35.232143	x
58.150000	34.053571	x
58.150000	32.875000	x
58.150000	31.696429	x
58.150000	30.517857	x
58.150000	29.339286	x
58.150000	28.160714	x
58.150000	26.982143	x
58.150000	25.803571	x
58.150000	24.625000	x
58.150000	23.446429	x
58.150000	22.267857	x
58.150000	21.089286	x
59.050000	36.410714	x
59.050000	35.232143	x
59.050000	34.053571	x
59.050000	32.875000	x
59.050000	31.696429	x
59.050000	30.517857	x
59.050000	29.339286	x
59.050000	28.160714	x
59.050000	26.982143	x
59.050000	25.803571	x
59.050000	24.625000	x
59.050000	23.446429	x
59.050000	22.267857	x
59.050000	21.089286	x
55.450000	19.410714	x
55.450000	18.232143	x
55.450000	17.053571	x
55.450000	15.875000	x
55.450000	14.696429	x
55.450000	13.517857	x
55.450000	12.339286	x
55.450000	11.160714	x
55.450000	9.982143	x
55.450000	8.803571	x
55.450000	7.625000	x
55.450000	6.446429	x
55.450000	5.267857	x
55.450000	4.089286	x
56.350000	19.410714	x
56.350000	18.232143	x
56.350000	17.053571	x
56.350000	15.875000	x
56.350000	14.696429	x
56.350000	13.517857	x
56.350000	12.339286	x
56.350000	11.160714	x
56.350000	9.982143	x
56.350000	8.803571	x
56.350000	7.625000	x
56.350000	6.446429	x
56.350000	5.267857	x
56.350000	4.089286	x
57.250000	19.410714	x
57.250000	18.232143	x
57.250000	17.053571	x
57.250000	15.875000	x
57.250000	14.696429	x
57.250000	13.517857	x
57.250000	12.339286	x
57.250000	11.160714	x
57.250000	9.982143	x
57.250000	8.803571	x
57.250000	7.625000	x
57.250000	6.446429	x
57.250000	5.267857	x
57.250000	4.089286	x
58.150000	19.410714	x
58.150000	18.232143	x
58.150000	17.053571	x
58.150000	15.875000	x
58.150000	14.696429	x
58.150000	13.517857	x
58.150000	12.339286	x
58.150000	11.160714	x
58.150000	9.982143	x
58.150000	8.803571	x
58.150000	7.625000	x
58.150000	6.446429	x
58.150000	5.267857	x
58.150000	4.089286	x
59.050000	19.410714	x
59.050000	18.232143	x
59.050000	17.053571	x
59.050000	15.875000	x
59.050000	14.696429	x
59.050000	13.517857	x
59.050000	12.339286	x
59.050000	11.160714	x
59.050000	9.982143	x
59.050000	8.803571	x
59.050000	7.625000	x
59.050000	6.446429	x
59.050000	5.267857	x
59.050000	4.089286	x
75.450000	19.410714	o
75.450000	18.232143	o
75.450000	17.053571	o
75.450000	15.875000	o
75.450000	14.696429	o
75.450000	13.517857	o
75.450000	12.339286	o
75.450000	11.160714	o
75.450000	9.982143	o
75.450000	8.803571	o
75.450000	7.625000	o
75.450000	6.446429	o
75.450000	5.267857	o
75.450000	4.089286	o
76.350000	19.410714	o
76.350000	18.232143	o
76.350000	17.053571	o
76.350000	15.875000	o
76.350000	14.696429	o
76.350000	13.517857	o
76.350000	12.339286	o
76.350000	11.160714	o
76.350000	9.982143	o
76.350000	8.803571	o
76.350000	7.625000	o
76.350000	6.446429	o
76.350000	5.267857	o
76.350000	4.089286	o
77.250000	19.410714	o
77.250000	18.232143	o
77.250000	17.053571	o
77.250000	15.875000	o
77.250000	14.696429	o
77.250000	13.517857	o
77.250000	12.339286	o
77.250000	11.160714	o
77.250000	9.982143	o
77.250000	8.803571	o
77.250000	7.625000	o
77.250000	6.446429	o
77.250000	5.267857	o
77.250000	4.089286	o
78.150000	19.410714	o
78.150000	18.232143	o
78.150000	17.053571	o
78.150000	15.875000	o
78.150000	14.696429	o
78.150000	13.517857	o
78.150000	12.339286	o
78.150000	11.160714	o
78.150000	9.982143	o
78.150000	8.803571	o
78.150000	7.625000	o
78.150000	6.446429	o
78.150000	5.267857	o
78.150000	4.089286	o
79.050000	19.410714	o
79.050000	18.232143	o
79.050000	17.053571	o
79.050000	15.875000	o
79.050000	14.696429	o
79.050000	13.517857	o
79.050000	12.339286	o
79.050000	11.160714	o
79.050000	9.982143	o
