x 	y	class
35.375000	36.587500	x
35.375000	35.762500	x
35.375000	34.937500	x
35.375000	34.112500	x
35.375000	33.287500	x
35.375000	32.462500	x
35.375000	31.637500	x
35.375000	30.812500	x
35.375000	29.987500	x
35.375000	29.162500	x
35.375000	28.337500	x
35.375000	27.512500	x
35.375000	26.687500	x
35.375000	25.862500	x
35.375000	25.037500	x
35.375000	24.212500	x
35.375000	23.387500	x
35.375000	22.562500	x
35.375000	21.737500	x
35.375000	20.912500	x
36.125000	36.587500	x
36.125000	35.762500	x
36.125000	34.937500	x
36.125000	34.112500	x
36.125000	33.287500	x
36.125000	32.462500	x
36.125000	31.637500	x
36.125000	30.812500	x
36.125000	29.987500	x
36.125000	29.162500	x
36.125000	28.337500	x
36.125000	27.512500	x
36.125000	26.687500	x
36.125000	25.862500	x
36.125000	25.037500	x
36.125000	24.212500	x
36.125000	23.387500	x
36.125000	22.562500	x
36.125000	21.737500	x
36.125000	20.912500	x
36.875000	36.587500	x
36.875000	35.762500	x
36.875000	34.937500	x
36.875000	34.112500	x
36.875000	33.287500	x
36.875000	32.462500	x
36.875000	31.637500	x
36.875000	30.812500	x
36.875000	29.987500	x
36.875000	29.162500	x
36.875000	28.337500	x
36.875000	27.512500	x
36.875000	26.687500	x
36.875000	25.862500	x
36.875000	25.037500	x
36.875000	24.212500	x
36.875000	23.387500	x
36.875000	22.562500	x
36.875000	21.737500	x
36.875000	20.912500	x
37.625000	36.587500	x
37.625000	35.762500	x
37.625000	34.937500	x
37.625000	34.112500	x
37.625000	33.287500	x
37.625000	32.462500	x
37.625000	31.637500	x
37.625000	30.812500	x
37.625000	29.987500	x
37.625000	29.162500	x
37.625000	28.337500	x
37.625000	27.512500	x
37.625000	26.687500	x
37.625000	25.862500	x
37.625000	25.037500	x
37.625000	24.212500	x
37.625000	23.387500	x
37.625000	22.562500	x
37.625000	21.737500	x
37.625000	20.912500	x
38.375000	36.587500	x
38.375000	35.762500	x
38.375000	34.937500	x
38.375000	34.112500	x
38.375000	33.287500	x
38.375000	32.462500	x
38.375000	31.637500	x
38.375000	30.812500	x
38.375000	29.987500	x
38.375000	29.162500	x
38.375000	28.337500	x
38.375000	27.512500	x
38.375000	26.687500	x
38.375000	25.862500	x
38.375000	25.037500	x
38.375000	24.212500	x
38.375000	23.387500	x
38.375000	22.562500	x
38.375000	21.737500	x
38.375000	20.912500	x
39.125000	36.587500	x
39.125000	35.762500	x
39.125000	34.937500	x
39.125000	34.112500	x
39.125000	33.287500	x
39.125000	32.462500	x
39.125000	31.637500	x
39.125000	30.812500	x
39.125000	29.987500	x
39.125000	29.162500	x
39.125000	28.337500	x
39.125000	27.512500	x
39.125000	26.687500	x
39.125000	25.862500	x
39.125000	25.037500	x
39.125000	24.212500	x
39.125000	23.387500	x
39.125000	22.562500	x
39.125000	21.737500	x
39.125000	20.912500	x
55.375000	36.587500	o
55.375000	35.762500	o
55.375000	34.937500	o
55.375000	34.112500	o
55.375000	33.287500	o
55.375000	32.462500	o
55.375000	31.637500	o
55.375000	30.812500	o
55.375000	29.987500	o
55.375000	29.162500	o
55.375000	28.337500	o
55.375000	27.512500	o
55.375000	26.687500	o
55.375000	25.862500	o
55.375000	25.037500	o
55.375000	24.212500	o
55.375000	23.387500	o
55.375000	22.562500	o
55.375000	21.737500	o
55.375000	20.912500	o
56.125000	36.587500	o
56.125000	35.762500	o
56.125000	34.937500	o
56.125000	34.112500	o
56.125000	33.287500	o
56.125000	32.462500	o
56.125000	31.637500	o
56.125000	30.812500	o
56.125000	29.987500	o
56.125000	29.162500	o
56.125000	28.337500	o
56.125000	27.512500	o
56.125000	26.687500	o
56.125000	25.862500	o
56.125000	25.037500	o
56.125000	24.212500	o
56.125000	23.387500	o
56.125000	22.562500	o
56.125000	21.737500	o
56.125000	20.912500	o
56.875000	36.587500	o
56.875000	35.762500	o
56.875000	34.937500	o
56.875000	34.112500	o
56.875000	33.287500	o
56.875000	32.462500	o
56.875000	31.637500	o
56.875000	30.812500	o
56.875000	29.987500	o
56.875000	29.162500	o
56.875000	28.337500	o
56.875000	27.512500	o
56.875000	26.687500	o
56.875000	25.862500	o
56.875000	25.037500	o
56.875000	24.212500	o
56.875000	23.387500	o
56.875000	22.562500	o
56.875000	21.737500	o
56.875000	20.912500	o
57.625000	36.587500	o
