point_x 	point_y
0.225000	0.000000
0.675000	0.000000
1.125000	0.000000
1.575000	0.000000
2.025000	0.000000
2.475000	0.000000
2.925000	0.000000
3.375000	0.000000
3.825000	0.000000
4.275000	0.000000
4.500000	1.250000
4.500000	3.750000
4.500000	6.250000
4.500000	8.750000
4.500000	11.250000
4.500000	13.750000
4.500000	16.250000
4.500000	18.750000
4.500000	21.250000
4.500000	23.750000
4.500000	26.250000
4.500000	28.750000
4.500000	31.250000
4.500000	33.750000
4.500000	36.250000
5.050000	37.500000
6.150000	37.500000
7.250000	37.500000
8.350000	37.500000
9.450000	37.500000
10.000000	36.250000
10.000000	33.750000
10.000000	31.250000
10.000000	28.750000
10.000000	26.250000
10.000000	23.750000
10.000000	21.250000
10.000000	18.750000
10.000000	16.250000
10.000000	13.750000
10.000000	11.250000
10.000000	8.750000
10.000000	6.250000
10.000000	3.750000
10.000000	1.250000
10.225000	0.000000
10.675000	0.000000
11.125000	0.000000
11.575000	0.000000
12.025000	0.000000
12.475000	0.000000
12.925000	0.000000
13.375000	0.000000
13.825000	0.000000
14.275000	0.000000
14.500000	1.250000
14.500000	3.750000
14.500000	6.250000
14.500000	8.750000
14.500000	11.250000
14.500000	13.750000
14.500000	16.250000
14.500000	18.750000
14.500000	21.250000
14.500000	23.750000
14.500000	26.250000
14.500000	28.750000
14.500000	31.250000
14.500000	33.750000
14.500000	36.250000
15.050000	37.500000
16.150000	37.500000
17.250000	37.500000
18.350000	37.500000
19.450000	37.500000
20.000000	36.250000
20.000000	33.750000
20.000000	31.250000
20.000000	28.750000
20.000000	26.250000
20.000000	23.750000
20.000000	21.250000
20.000000	18.750000
20.000000	16.250000
20.000000	13.750000
20.000000	11.250000
20.000000	8.750000
20.000000	6.250000
20.000000	3.750000
20.000000	1.250000
20.225000	0.000000
20.675000	0.000000
21.125000	0.000000
21.575000	0.000000
22.025000	0.000000
22.475000	0.000000
22.925000	0.000000
23.375000	0.000000
23.825000	0.000000
24.275000	0.000000
24.500000	1.250000
24.500000	3.750000
24.500000	6.250000
24.500000	8.750000
24.500000	11.250000
24.500000	13.750000
24.500000	16.250000
24.500000	18.750000
24.500000	21.250000
24.500000	23.750000
24.500000	26.250000
24.500000	28.750000
24.500000	31.250000
24.500000	33.750000
24.500000	36.250000
25.050000	37.500000
26.150000	37.500000
27.250000	37.500000
28.350000	37.500000
29.450000	37.500000
30.000000	36.250000
30.000000	33.750000
30.000000	31.250000
30.000000	28.750000
30.000000	26.250000
30.000000	23.750000
30.000000	21.250000
30.000000	18.750000
30.000000	16.250000
30.000000	13.750000
30.000000	11.250000
30.000000	8.750000
30.000000	6.250000
30.000000	3.750000
30.000000	1.250000
30.225000	0.000000
30.675000	0.000000
31.125000	0.000000
31.575000	0.000000
32.025000	0.000000
32.475000	0.000000
32.925000	0.000000
33.375000	0.000000
33.825000	0.000000
34.275000	0.000000
34.500000	1.250000
